"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_log2FC","HT55_padj","SW948_log2FC","SW948_padj","observed_LFC_difference","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","interaction_status"
"ENSG00000148730.9","ENSG00000148730","EIF4EBP2","protein_coding",0.134262362089215,0.201396816369789,-2.54458987627201,1.42548547564053e-144,-2.67885223836122,2622.88535609341,-2.67885219828261,0.132087838108782,-20.2808391494485,1.89864526257548e-91,2.75151671452438e-87,"Negative_interaction"
"ENSG00000162344.6","ENSG00000162344","FGF19","protein_coding",-2.91878447567235,3.79394669128008e-56,2.51684895975384,4.33960193107057e-30,5.43563343542619,107.949502929142,5.43563299900022,0.281426714587015,19.314559411948,4.05174107037738e-83,2.93589157959545e-79,"Positive_interaction"
"ENSG00000138814.19","ENSG00000138814","PPP3CA","protein_coding",-0.140150146009968,0.274536421953354,-3.48018274478692,6.83859733823492e-117,-3.34003259877695,278.134718421299,-3.34003252227822,0.183377915722128,-18.2139300096493,4.00163763530575e-74,1.93305775369503e-70,"Negative_interaction"
"ENSG00000197142.13","ENSG00000197142","ACSL5","protein_coding",0.272081121807132,2.02016767341786e-10,-0.824495810989577,2.30119157901512e-69,-1.09657693279671,5468.91258811364,-1.09657692969335,0.0612803902842124,-17.8944181753337,1.30351122864591e-71,4.72262118138413e-68,"Negative_interaction"
"ENSG00000076641.6","ENSG00000076641","PAG1","protein_coding",0.225264282358687,0.0260460494966095,-2.49977827362071,3.95163856696679e-82,-2.7250425559794,314.71612275966,-2.72504251251322,0.156503915156592,-17.4119766255473,6.69325329133203e-68,1.93997253395968e-64,"Negative_interaction"
"ENSG00000170017.14","ENSG00000170017","ALCAM","protein_coding",0.442882539811676,2.16366123539934e-06,-1.68804096971748,5.46038463340662e-81,-2.13092350952916,962.435487213597,-2.13092347741436,0.123171768549362,-17.3004212126772,4.66962300118981e-67,1.12786960888738e-63,"Negative_interaction"
"ENSG00000172159.18","ENSG00000172159","FRMD3","protein_coding",1.09245271881565,1.65434689764242e-16,-1.77569917606492,3.82949398390657e-54,-2.86815189488057,186.658632961873,-2.86815181304054,0.169420946738018,-16.9291452341822,2.74334891325064e-64,5.67951606440403e-61,"Negative_interaction"
"ENSG00000186480.15","ENSG00000186480","INSIG1","protein_coding",1.83257955238729,1.98497105873649e-21,6.2361123387199,5.08669426918872e-241,4.40353278633261,8130.96701682592,4.40353248078986,0.262571667852032,16.7707830658691,3.99212846316623e-63,7.23174071102562e-60,"Positive_interaction"
"ENSG00000065618.23","ENSG00000065618","COL17A1","protein_coding",0.506846483080164,3.42363772266475e-06,-1.84465941971938,1.29746660364025e-70,-2.35150590279954,1733.57783458557,-2.35150585433858,0.143977983795352,-16.3323988317614,5.80560173979749e-60,9.34830893479391e-57,"Negative_interaction"
"ENSG00000115561.18","ENSG00000115561","CHMP3","protein_coding",-0.289437832924908,0.00169681207120327,-2.31413970636315,4.41749380455523e-137,-2.02470187343824,1188.72501210008,-2.02470184602049,0.124238731488562,-16.2968650899892,1.03885594838016e-59,1.50551004039253e-56,"Negative_interaction"
